scenario_id,observation_index,trace_id,app,content,real_rf_state_id,primary_rf_state_id,target_rsrp_dbm,target_rsrq_db,target_snr_db,primary_control_state_id,primary_ploss,primary_noise_power_dB,primary_supported,candidate_control_state_id,candidate_ploss,candidate_noise_power_dB,candidate_supported,both_supported,primary_only,candidate_only,union_supported
ucc-static-03c60d20f6ba6fb3,11,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-15|snr=2,rsrp=-89|rsrq=-15,-89,-15,2,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,12,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-15|snr=2,rsrp=-89|rsrq=-15,-89,-15,2,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,13,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-13|snr=-4,rsrp=-89|rsrq=-13,-89,-13,-4,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,14,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-13|snr=-4,rsrp=-89|rsrq=-13,-89,-13,-4,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,15,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-15|snr=-2,rsrp=-89|rsrq=-15,-89,-15,-2,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,16,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-15|snr=-2,rsrp=-89|rsrq=-15,-89,-15,-2,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,17,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-88|rsrq=-17|snr=-7,rsrp=-88|rsrq=-17,-88,-17,-7,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,18,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-88|rsrq=-17|snr=-7,rsrp=-88|rsrq=-17,-88,-17,-7,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,19,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-15|snr=-2,rsrp=-89|rsrq=-15,-89,-15,-2,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,20,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-15|snr=-2,rsrp=-89|rsrq=-15,-89,-15,-2,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,21,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-16|snr=0,rsrp=-90|rsrq=-16,-90,-16,0,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,22,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-16|snr=0,rsrp=-90|rsrq=-16,-90,-16,0,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,23,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-88|rsrq=-17|snr=0,rsrp=-88|rsrq=-17,-88,-17,0,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,24,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-88|rsrq=-17|snr=0,rsrp=-88|rsrq=-17,-88,-17,0,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,25,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-88|rsrq=-15|snr=0,rsrp=-88|rsrq=-15,-88,-15,0,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,26,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-88|rsrq=-15|snr=0,rsrp=-88|rsrq=-15,-88,-15,0,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,27,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-88|rsrq=-16|snr=1,rsrp=-88|rsrq=-16,-88,-16,1,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,28,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-88|rsrq=-16|snr=1,rsrp=-88|rsrq=-16,-88,-16,1,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,29,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-12|snr=2,rsrp=-89|rsrq=-12,-89,-12,2,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,30,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-12|snr=2,rsrp=-89|rsrq=-12,-89,-12,2,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
