command_index,trace_row_index,trace_time_bin,trace_t_s,target_relative_rsrp_db,target_sinr_db,projected_relative_rsrp_db,projected_sinr_db,commanded_gain_db,commanded_noise_power_db,clipped,clipping_distance_scaled,triangle_index,vertex_0,vertex_1,vertex_2,barycentric_0,barycentric_1,barycentric_2
47,201,201,201,0.75,20.95,0.75,20.95,-9.154655244,-29.856327228,False,0,2,18,14,8,0.116945330641,0.309387871317,0.573666798042
48,202,202,202,0.95,20.9,0.95,20.9,-8.954993537,-29.602291543,False,0,2,18,14,8,0.107883000945,0.267048590437,0.625068408618
49,203,203,203,1.35,19.8,1.35,19.8,-8.562856527,-28.110678831,False,0,5,5,8,14,0.226088847929,0.755464680241,0.0184464718295
50,204,204,204,-0.25,21.05,-0.25,21.05,-10.153325324,-30.974489141,False,0,2,18,14,8,0.136860636188,0.495748190209,0.367391173604
51,205,205,205,-1.1,17.7,-1.1,17.7,-11.035657771,-28.580653513,False,0,21,2,5,14,0.324277714516,0.578946699935,0.0967755855486
52,206,206,206,-3.4,16.45,-3.4,16.45,-13.356803647,-29.605840567,False,0,22,14,1,2,0.185487748732,0.246457037311,0.568055213956
53,207,207,207,-3,14.9,-3,14.9,-12.998946983,-27.646976098,False,0,23,1,3,2,0.249736745682,0.284165797909,0.466097456409
54,208,208,208,-3.75,12.9,-3.75,12.9,-13.851670843,-26.468471714,False,0,9,3,1,15,0.443069306857,0.368904728558,0.188025964584
55,209,209,209,-4.35,12.9,-4.35,12.9,-14.453383203,-27.075214666,False,0,9,3,1,15,0.276485939445,0.503177541019,0.220336519536
56,210,210,210,-4.55,10.6,-4.55,10.6,-14.811107403,-25.304791275,False,0,7,13,15,1,0.0534084634055,0.647854762048,0.298736774547
57,211,211,211,-5.75,10.85,-5.75,10.85,-16.002460117,-26.621934192,False,0,7,13,15,1,0.338667621706,0.337437563279,0.323894815015
58,212,212,212,-6.3,13.05,-6.3,13.05,-16.402758681,-29.086031351,False,0,7,13,15,1,0.232362403156,0.0309830628576,0.736654533986
59,213,213,213,-4.35,13.9,-4.35,13.9,-14.38545532,-27.924061014,False,0,9,3,1,15,0.397218599213,0.589946259342,0.0128351414455
