trace_row_index,session_id,sequence_id,time_bin,t_s,route_fraction,rsrp_dbm,relative_rsrp_db,sinr_db,serving_pci,provisional_gain_db,provisional_noise_power_db
169,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,169,169,0.536655595592,-88.45,-1.85,13.6,41,-11.8324493083,-25.3584436622
170,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,170,170,0.540238599676,-86.7,-0.1,15.7,41,-10.0850411826,-25.7217658682
171,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,171,171,0.542030101795,-86.6,0,17.4,41,-9.98518928968,-27.3706108435
172,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,172,172,0.545613106113,-83.7,2.9,16.85,41,-7.08948439567,-23.8200437582
173,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,173,173,0.54909680399,-82.5,4.1,15.9,41,-5.89126168091,-21.6064447712
174,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,174,174,0.552732408175,-81.65,4.95,17.6,41,-5.04252059129,-22.4836098103
175,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,175,175,0.556231042841,-81.5,5.1,18.9,41,-4.89274275194,-23.6688363663
176,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,176,176,0.559884819628,-81.05,5.55,19.6,41,-4.44340923391,-23.9271313125
177,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,177,177,0.56392677894,-82.75,3.85,19.4,41,-6.14089141315,-25.4701859559
178,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,178,178,0.567771019814,-82.8,3.8,20.9,41,-6.1908173596,-27.0672803733
179,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,179,179,0.571615260777,-81.3,5.3,22.2,41,-4.69303896615,-26.8634830443
180,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,180,180,0.575286698913,-82.95,3.65,19.05,41,-6.34059519895,-25.3153158183
181,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,181,181,0.578866992784,-85.1,1.5,13.1,41,-8.48741089623,-21.3963902515
182,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,182,182,0.582662666218,-87.8,-1.2,16.35,41,-11.1834120044,-27.5233443795
183,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,183,183,0.586549484158,-89.5,-2.9,13.75,41,-12.8808941837,-26.5933604816
184,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,184,184,0.590048119846,-89.7,-3.1,12.4,41,-13.0805979695,-25.4080576184
185,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,185,185,0.593701897717,-85.9,0.7,17.35,41,-9.2862260394,-26.5988546002
186,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,186,186,0.597899000211,-84.05,2.55,17.45,41,-7.43896602081,-24.798420697
187,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,187,187,0.601898384326,-89.15,-2.55,11.75,41,-12.5314125585,-24.172377727
188,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,188,188,0.605742626426,-88.7,-2.1,15.65,41,-12.0820790405,-27.7280573949
189,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,189,189,0.611390565787,-88.2,-1.6,16.8,41,-11.582819576,-28.3986017385
190,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,190,190,0.614973572083,-88.85,-2.25,15,41,-12.2318568799,-27.2126121105
191,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,191,191,0.619120844345,-87.15,-0.55,17.8,41,-10.5343747006,-28.3486825535
192,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,192,192,0.623317947681,-87.35,-0.75,16.4,41,-10.7340784864,-27.1118580541
193,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,193,193,0.626774008099,-85.65,0.95,19.75,41,-9.03659630716,-28.8146664961
194,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,194,194,0.63066082732,-85.65,0.95,19.45,41,-9.03659630716,-28.5055366784
195,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,195,195,0.634116887937,-84.2,2.4,19.6,41,-7.58874386016,-27.1681870441
196,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,196,196,0.638003707335,-85.4,1.2,18.5,41,-8.78696657492,-27.2693989438
197,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,197,197,0.639558934702,-85.25,1.35,22.25,41,-8.63718873557,-30.9791856774
198,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,198,198,0.642966427549,-84.75,1.85,20.35,41,-8.13792927109,-28.5069102081
199,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,199,199,0.646546723513,-85.25,1.35,21.8,41,-8.63718873557,-30.5154909509
200,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,200,200,0.650066257512,-86.15,0.45,20.3,41,-9.53585577164,-29.8958577859
201,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,201,201,0.65358579161,-85.85,0.75,20.95,41,-9.23630009295,-30.256967083
202,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,202,202,0.657257232133,-85.65,0.95,20.9,41,-9.03659630716,-29.9996641305
203,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,203,203,0.660928672756,-85.25,1.35,19.8,41,-8.63718873557,-28.4546254998
204,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,204,204,0.66444820711,-86.85,-0.25,21.05,41,-10.2348190219,-31.3889169371
205,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,205,205,0.667794938485,-87.7,-1.1,17.7,41,-11.0835601115,-28.8115379008
206,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,206,206,0.670732590811,-90,-3.4,16.45,41,-13.3801536482,-29.8899821313
207,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,207,207,0.673670243138,-89.6,-3,14.9,41,-12.9807460766,-27.8812487741
208,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,208,208,0.67695350162,-90.35,-3.75,12.9,41,-13.7296352733,-26.5920632591
209,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,209,209,0.680473036073,-90.95,-4.35,12.9,41,-14.3287466307,-27.209407208
210,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,210,210,0.683992570427,-91.15,-4.55,10.6,41,-14.5284504165,-25.0451932556
211,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,211,211,0.689008062044,-92.35,-5.75,10.85,41,-15.7266731312,-26.5374893347
212,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,212,212,0.692118517091,-92.9,-6.3,13.05,41,-16.2758585422,-29.3703399507
213,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,213,213,0.695701524125,-90.95,-4.35,13.9,41,-14.3287466307,-28.2398399335
