metric,source_kind,source_key,locked_role,device,candidate_id,ploss,noise_power_dB,sample_count,unique_value_count,constant_distribution,minimum,p10,p25,median,p75,p90,maximum,iqr,standard_deviation_ddof1
relative_RSRP,RFsim,mgen-20260810-194833,analysis_window_15_175s,OAI_UE,ploss=-5|noise=-7,-5,-7,160,4,False,-0.167,0,0,0,0,0,0,0,0.0256553406053
relative_RSRP,UPV,filename_sensitivity,calibration,ASUS,,,,16,14,False,-3.15,-2,-1,0,1.225,1.475,3.4,2.225,1.67708825051
relative_RSRP,UPV,filename_sensitivity,spatial_validation_1,ASUS,,,,11,10,False,-4.25,-2.85,-2.625,0,0.975,1.25,2.35,3.6,2.12264843147
relative_RSRP,UPV,filename_sensitivity,spatial_validation_2,ASUS,,,,21,19,False,-14.5,-8.4,-3.8,0,1.45,1.8,1.9,5.25,4.73844835966
relative_RSRP,UPV,filename_sensitivity,spatial_validation_3,ASUS,,,,16,16,False,-4.775,-3.025,-1.525,0,0.55,0.85,1.375,2.075,1.7627600281
relative_RSRP,UPV,filename_sensitivity,spatial_validation_4,ASUS,,,,18,16,False,-4.175,-3.585,-1.125,-7.1054273576e-15,1.6875,3.035,6.375,2.8125,2.77106312625
relative_RSRP,UPV,primary,calibration,ASUS,,,,16,16,False,-3.25,-3.075,-2.05,0,1.875,3.725,4,3.925,2.55326384261
relative_RSRP,UPV,primary,spatial_validation_1,ASUS,,,,15,14,False,-3.7,-3.4,-1.675,0,1.25,2.44,3.05,2.925,2.20593355683
relative_RSRP,UPV,primary,spatial_validation_2,ASUS,,,,19,18,False,-9.15,-4.6,-3.475,0,2.375,2.61,3.4,5.85,3.46333341776
relative_RSRP,UPV,primary,spatial_validation_3,ASUS,,,,17,15,False,-3.95,-2.71,-1.4,0,0.6,0.89,1.4,2,1.57580511635
relative_RSRP,UPV,primary,spatial_validation_4,ASUS,,,,17,17,False,-3.35,-1.9,-1.4,0,0.85,1.3,1.75,2.25,1.45631863635
relative_RSRP,UPV,s25_robustness,calibration,S25,,,,16,15,False,-3.875,-1.775,-0.6625,7.1054273576e-15,0.9375,1.5,1.825,1.6,1.50714617185
relative_RSRP,UPV,s25_robustness,spatial_validation_1,S25,,,,11,11,False,-4.45,-1.85,-1.25,0,1.925,2.55,4.6,3.175,2.50344308358
relative_RSRP,UPV,s25_robustness,spatial_validation_2,S25,,,,18,18,False,-4.6,-3.61,-3.0375,-7.1054273576e-15,1.825,2.39,3.5,4.8625,2.58452060004
relative_RSRP,UPV,s25_robustness,spatial_validation_3,S25,,,,17,15,False,-3.6,-1.67,-0.8,0,0.45,1.52,1.85,1.25,1.38135563211
relative_RSRP,UPV,s25_robustness,spatial_validation_4,S25,,,,18,18,False,-4.175,-3.005,-1.6875,0,3.7875,5.435,6.375,5.475,3.53228804368
