real_rf_state_id,dwell_runs,total_seconds,duration_seconds_mean,duration_seconds_p50,duration_seconds_p90,duration_seconds_max
rsrp=-101|rsrq=-14|snr=-4,3,4,1.33333333333,1,1.8,2
rsrp=-101|rsrq=-14|snr=2,3,4,1.33333333333,1,1.8,2
rsrp=-101|rsrq=-15|snr=-2,2,4,2,2,2,2
rsrp=-101|rsrq=-15|snr=-3,2,4,2,2,2,2
rsrp=-101|rsrq=-15|snr=9,2,4,2,2,2,2
rsrp=-101|rsrq=-16|snr=1,2,4,2,2,2,2
rsrp=-101|rsrq=-16|snr=2,2,4,2,2,2,2
rsrp=-101|rsrq=-16|snr=6,2,4,2,2,2,2
rsrp=-101|rsrq=-17|snr=2,2,4,2,2,2,2
rsrp=-101|rsrq=-17|snr=5,2,4,2,2,2,2
rsrp=-102|rsrq=-10|snr=8,2,4,2,2,2,2
rsrp=-102|rsrq=-11|snr=4,2,4,2,2,2,2
rsrp=-102|rsrq=-11|snr=6,3,4,1.33333333333,1,1.8,2
rsrp=-102|rsrq=-12|snr=0,2,4,2,2,2,2
rsrp=-102|rsrq=-12|snr=5,2,4,2,2,2,2
rsrp=-102|rsrq=-12|snr=6,2,4,2,2,2,2
rsrp=-102|rsrq=-15|snr=0,2,4,2,2,2,2
rsrp=-102|rsrq=-15|snr=2,2,4,2,2,2,2
rsrp=-102|rsrq=-16|snr=1,3,4,1.33333333333,1,1.8,2
rsrp=-103|rsrq=-11|snr=-4,2,4,2,2,2,2
rsrp=-103|rsrq=-11|snr=2,2,4,2,2,2,2
rsrp=-103|rsrq=-11|snr=5,2,4,2,2,2,2
rsrp=-103|rsrq=-12|snr=-3,2,4,2,2,2,2
rsrp=-103|rsrq=-12|snr=0,2,4,2,2,2,2
rsrp=-103|rsrq=-12|snr=1,3,4,1.33333333333,1,1.8,2
rsrp=-103|rsrq=-12|snr=2,2,4,2,2,2,2
rsrp=-103|rsrq=-13|snr=1,2,4,2,2,2,2
rsrp=-103|rsrq=-13|snr=3,3,4,1.33333333333,1,1.8,2
rsrp=-103|rsrq=-14|snr=-1,2,4,2,2,2,2
rsrp=-103|rsrq=-15|snr=2,2,4,2,2,2,2
rsrp=-103|rsrq=-16|snr=-1,2,4,2,2,2,2
rsrp=-103|rsrq=-16|snr=4,1,4,4,4,4,4
rsrp=-103|rsrq=-9|snr=5,2,4,2,2,2,2
rsrp=-104|rsrq=-12|snr=-2,2,4,2,2,2,2
rsrp=-104|rsrq=-12|snr=1,2,4,2,2,2,2
rsrp=-104|rsrq=-12|snr=3,2,4,2,2,2,2
rsrp=-104|rsrq=-13|snr=2,2,4,2,2,2,2
rsrp=-104|rsrq=-13|snr=4,2,4,2,2,2,2
rsrp=-104|rsrq=-17|snr=-3,2,4,2,2,2,2
rsrp=-104|rsrq=-17|snr=0,2,4,2,2,2,2
rsrp=-104|rsrq=-18|snr=1,2,4,2,2,2,2
rsrp=-104|rsrq=-19|snr=1,2,4,2,2,2.8,3
rsrp=-105|rsrq=-14|snr=0,2,4,2,2,2,2
rsrp=-105|rsrq=-16|snr=-2,2,4,2,2,2,2
rsrp=-80|rsrq=-10|snr=-1,2,4,2,2,2,2
rsrp=-80|rsrq=-10|snr=1,2,4,2,2,2,2
rsrp=-80|rsrq=-9|snr=2,2,4,2,2,2,2
rsrp=-81|rsrq=-10|snr=1,1,4,4,4,4,4
rsrp=-81|rsrq=-11|snr=1,2,4,2,2,2,2
rsrp=-81|rsrq=-11|snr=3,2,4,2,2,2,2
rsrp=-81|rsrq=-11|snr=4,2,4,2,2,2,2
rsrp=-81|rsrq=-12|snr=3,3,4,1.33333333333,1,1.8,2
rsrp=-81|rsrq=-9|snr=4,2,4,2,2,2,2
rsrp=-88|rsrq=-11|snr=4,2,4,2,2,2,2
rsrp=-88|rsrq=-16|snr=1,2,4,2,2,2,2
rsrp=-88|rsrq=-17|snr=0,2,4,2,2,2,2
rsrp=-89|rsrq=-11|snr=7,2,4,2,2,2,2
rsrp=-89|rsrq=-12|snr=-7,3,4,1.33333333333,1,1.8,2
rsrp=-89|rsrq=-12|snr=1,3,4,1.33333333333,1,1.8,2
rsrp=-89|rsrq=-12|snr=3,1,4,4,4,4,4
