scenario_id,trace_id,app,content,run_index,observed_segment_index,gap_before_seconds,start_second,end_second_exclusive,duration_seconds,real_rf_state_id,target_rsrp_dbm,target_rsrq_db,target_snr_db
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,68,10,0,139,141,2,rsrp=-88|rsrq=-15|snr=8,-88,-15,8
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,69,10,0,141,143,2,rsrp=-88|rsrq=-14|snr=2,-88,-14,2
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,70,10,0,143,145,2,rsrp=-88|rsrq=-15|snr=-1,-88,-15,-1
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,71,10,0,145,147,2,rsrp=-87|rsrq=-17|snr=-6,-87,-17,-6
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,72,10,0,147,149,2,rsrp=-88|rsrq=-11|snr=4,-88,-11,4
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,73,10,0,149,151,2,rsrp=-87|rsrq=-14|snr=5,-87,-14,5
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,74,11,1,152,154,2,rsrp=-87|rsrq=-11|snr=2,-87,-11,2
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,75,11,0,154,156,2,rsrp=-87|rsrq=-11|snr=4,-87,-11,4
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,76,11,0,156,158,2,rsrp=-88|rsrq=-11|snr=-5,-88,-11,-5
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,77,11,0,158,160,2,rsrp=-90|rsrq=-13|snr=1,-90,-13,1
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,78,11,0,160,162,2,rsrp=-88|rsrq=-16|snr=-5,-88,-16,-5
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,79,11,0,162,164,2,rsrp=-89|rsrq=-16|snr=-7,-89,-16,-7
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,80,11,0,164,166,2,rsrp=-90|rsrq=-14|snr=-8,-90,-14,-8
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,81,11,0,166,167,1,rsrp=-89|rsrq=-12|snr=-7,-89,-12,-7
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,82,12,1,168,169,1,rsrp=-89|rsrq=-12|snr=-7,-89,-12,-7
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,83,12,0,169,171,2,rsrp=-89|rsrq=-11|snr=-7,-89,-11,-7
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,84,12,0,171,173,2,rsrp=-88|rsrq=-15|snr=4,-88,-15,4
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,85,12,0,173,175,2,rsrp=-89|rsrq=-15|snr=0,-89,-15,0
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,86,12,0,175,177,2,rsrp=-89|rsrq=-14|snr=-6,-89,-14,-6
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,87,12,0,177,179,2,rsrp=-87|rsrq=-16|snr=-8,-87,-16,-8
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,88,12,0,179,180,1,rsrp=-86|rsrq=-16|snr=2,-86,-16,2
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,0,0,0,0,2,2,rsrp=-99|rsrq=-15|snr=5,-99,-15,5
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,1,0,0,2,4,2,rsrp=-98|rsrq=-12|snr=5,-98,-12,5
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,2,0,0,4,6,2,rsrp=-97|rsrq=-9|snr=1,-97,-9,1
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,3,0,0,6,8,2,rsrp=-99|rsrq=-11|snr=6,-99,-11,6
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,4,1,1,9,11,2,rsrp=-98|rsrq=-11|snr=4,-98,-11,4
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,5,1,0,11,13,2,rsrp=-97|rsrq=-14|snr=6,-97,-14,6
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,6,1,0,13,15,2,rsrp=-97|rsrq=-12|snr=11,-97,-12,11
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,7,1,0,15,16,1,rsrp=-97|rsrq=-9|snr=4,-97,-9,4
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,8,2,1,17,18,1,rsrp=-97|rsrq=-9|snr=4,-97,-9,4
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,9,3,1,19,20,1,rsrp=-97|rsrq=-12|snr=11,-97,-12,11
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,10,3,0,20,22,2,rsrp=-97|rsrq=-13|snr=8,-97,-13,8
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,11,3,0,22,24,2,rsrp=-97|rsrq=-11|snr=11,-97,-11,11
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,12,4,1,25,27,2,rsrp=-98|rsrq=-10|snr=4,-98,-10,4
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,13,4,0,27,29,2,rsrp=-98|rsrq=-12|snr=5,-98,-12,5
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,14,4,0,29,31,2,rsrp=-99|rsrq=-12|snr=5,-99,-12,5
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,15,5,2,33,34,1,rsrp=-98|rsrq=-11|snr=5,-98,-11,5
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,16,5,0,34,36,2,rsrp=-98|rsrq=-13|snr=2,-98,-13,2
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,17,5,0,36,38,2,rsrp=-99|rsrq=-11|snr=5,-99,-11,5
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,18,5,0,38,40,2,rsrp=-102|rsrq=-11|snr=4,-102,-11,4
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,19,6,1,41,43,2,rsrp=-98|rsrq=-12|snr=9,-98,-12,9
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,20,6,0,43,45,2,rsrp=-97|rsrq=-10|snr=5,-97,-10,5
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,21,6,0,45,47,2,rsrp=-97|rsrq=-9|snr=9,-97,-9,9
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,22,7,1,48,50,2,rsrp=-96|rsrq=-9|snr=7,-96,-9,7
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,23,7,0,50,52,2,rsrp=-98|rsrq=-13|snr=3,-98,-13,3
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,24,7,0,52,54,2,rsrp=-97|rsrq=-16|snr=4,-97,-16,4
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,25,7,0,54,55,1,rsrp=-97|rsrq=-11|snr=6,-97,-11,6
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,26,8,1,56,57,1,rsrp=-97|rsrq=-11|snr=6,-97,-11,6
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,27,8,0,57,59,2,rsrp=-96|rsrq=-10|snr=2,-96,-10,2
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,28,8,0,59,61,2,rsrp=-95|rsrq=-11|snr=2,-95,-11,2
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,29,9,1,62,64,2,rsrp=-97|rsrq=-12|snr=7,-97,-12,7
